Category,Layer,Rank,Expert ID,Activation Count
adjacency,17,15,86,4427
adjacency,17,16,92,4401
adjacency,17,17,66,4275
adjacency,17,18,88,4232
adjacency,17,19,63,4172
adjacency,17,20,54,4129
adjacency,18,1,74,20274
adjacency,18,2,1,16638
adjacency,18,3,86,14156
adjacency,18,4,62,12145
adjacency,18,5,71,11741
adjacency,18,6,27,10903
adjacency,18,7,8,8948
adjacency,18,8,111,7769
adjacency,18,9,109,7720
adjacency,18,10,7,7009
adjacency,18,11,116,6828
adjacency,18,12,20,6291
adjacency,18,13,34,5690
adjacency,18,14,98,5344
adjacency,18,15,75,5217
adjacency,18,16,19,5089
adjacency,18,17,119,4811
adjacency,18,18,101,4336
adjacency,18,19,53,4245
adjacency,18,20,79,4239
adjacency,19,1,83,17074
adjacency,19,2,28,13871
adjacency,19,3,17,13539
adjacency,19,4,30,13251
adjacency,19,5,115,9984
adjacency,19,6,111,9529
adjacency,19,7,64,9005
adjacency,19,8,96,7544
adjacency,19,9,109,7113
adjacency,19,10,18,7112
adjacency,19,11,92,7000
adjacency,19,12,41,6841
adjacency,19,13,103,6676
adjacency,19,14,106,6398
adjacency,19,15,53,5918
adjacency,19,16,9,4430
adjacency,19,17,113,4120
adjacency,19,18,13,3813
adjacency,19,19,107,3705
adjacency,19,20,62,3528
adjacency,20,1,46,15297
adjacency,20,2,21,14033
adjacency,20,3,88,13672
adjacency,20,4,72,12123
adjacency,20,5,20,10255
adjacency,20,6,107,9827
adjacency,20,7,23,9824
adjacency,20,8,111,9141
adjacency,20,9,67,7147
adjacency,20,10,27,6443
adjacency,20,11,43,6038
adjacency,20,12,15,5737
adjacency,20,13,38,5595
adjacency,20,14,78,5513
adjacency,20,15,125,5414
adjacency,20,16,103,5274
adjacency,20,17,81,4766
adjacency,20,18,94,4437
adjacency,20,19,4,4290
adjacency,20,20,8,4101
adjacency,21,1,28,14681
adjacency,21,2,10,13548
adjacency,21,3,49,12877
adjacency,21,4,86,12170
adjacency,21,5,114,10174
adjacency,21,6,37,9742
adjacency,21,7,40,9394
adjacency,21,8,104,8952
adjacency,21,9,5,8773
adjacency,21,10,30,8343
adjacency,21,11,87,7149
adjacency,21,12,27,6772
adjacency,21,13,57,5754
adjacency,21,14,105,4656
adjacency,21,15,23,4578
adjacency,21,16,59,4446
adjacency,21,17,79,4305
adjacency,21,18,41,4171
adjacency,21,19,31,3395
adjacency,21,20,54,3291
adjacency,22,1,26,10361
adjacency,22,2,65,8259
adjacency,22,3,98,7381
adjacency,22,4,86,7228
adjacency,22,5,96,6939
adjacency,22,6,124,6726
adjacency,22,7,20,6237
adjacency,22,8,76,5843
adjacency,22,9,109,5673
adjacency,22,10,45,5621
adjacency,22,11,47,5473
adjacency,22,12,70,4989
adjacency,22,13,116,4941
adjacency,22,14,23,4558
adjacency,22,15,111,4458
adjacency,22,16,103,4443
adjacency,22,17,110,4442
adjacency,22,18,101,4279
adjacency,22,19,33,4276
adjacency,22,20,82,4241
adjacency,23,1,41,12702
adjacency,23,2,39,9820
adjacency,23,3,64,9652
adjacency,23,4,42,8177
adjacency,23,5,21,7461
adjacency,23,6,96,7388
adjacency,23,7,126,6620
adjacency,23,8,22,6386
adjacency,23,9,73,5846
adjacency,23,10,1,5082
adjacency,23,11,97,5024
adjacency,23,12,67,4640
adjacency,23,13,118,4348
adjacency,23,14,94,4214
adjacency,23,15,116,4103
adjacency,23,16,19,4045
adjacency,23,17,36,3920
adjacency,23,18,55,3773
adjacency,23,19,5,3738
adjacency,23,20,68,3660
adjacency,24,1,121,13377
adjacency,24,2,85,11911
adjacency,24,3,119,11236
adjacency,24,4,95,9323
adjacency,24,5,0,6678
adjacency,24,6,103,6399
adjacency,24,7,17,6009
adjacency,24,8,25,5962
adjacency,24,9,65,5380
adjacency,24,10,62,5042
adjacency,24,11,126,5042
adjacency,24,12,60,4884
adjacency,24,13,56,4837
adjacency,24,14,9,4831
adjacency,24,15,116,4523
adjacency,24,16,38,4508
adjacency,24,17,36,4329
adjacency,24,18,67,4325
adjacency,24,19,43,4296
adjacency,24,20,29,4096
adjacency,25,1,104,10429
adjacency,25,2,105,8320
adjacency,25,3,122,7277
adjacency,25,4,36,7045
adjacency,25,5,68,6246
adjacency,25,6,42,6116
adjacency,25,7,95,5828
adjacency,25,8,125,5767
adjacency,25,9,14,5751
adjacency,25,10,127,5656
adjacency,25,11,62,5462
adjacency,25,12,99,5415
adjacency,25,13,109,5308
adjacency,25,14,57,5141
adjacency,25,15,63,5111
adjacency,25,16,0,5058
adjacency,25,17,32,4701
adjacency,25,18,107,4456
adjacency,25,19,70,4234
adjacency,25,20,123,4116
adjacency,26,1,51,15087
adjacency,26,2,53,9459
adjacency,26,3,36,9363
adjacency,26,4,25,8920
adjacency,26,5,88,8177
adjacency,26,6,71,7918
adjacency,26,7,118,6874
adjacency,26,8,93,6729
adjacency,26,9,108,6716
adjacency,26,10,107,6430
adjacency,26,11,22,5867
adjacency,26,12,7,5405
adjacency,26,13,96,5306
adjacency,26,14,13,5120
adjacency,26,15,60,4929
adjacency,26,16,75,4491
adjacency,26,17,81,4337
adjacency,26,18,15,3912
adjacency,26,19,100,3691
adjacency,26,20,52,3601
adjacency,27,1,57,16279
adjacency,27,2,116,11798
adjacency,27,3,7,10901
adjacency,27,4,37,9330
adjacency,27,5,53,8050
adjacency,27,6,126,8023
adjacency,27,7,59,7474
adjacency,27,8,120,6988
adjacency,27,9,18,5819
adjacency,27,10,115,5686
adjacency,27,11,43,5284
adjacency,27,12,76,4511
adjacency,27,13,123,4495
adjacency,27,14,58,4476
adjacency,27,15,87,4351
adjacency,27,16,93,4205
adjacency,27,17,20,4090
adjacency,27,18,83,4075
adjacency,27,19,125,3624
adjacency,27,20,49,3525
adjacency,28,1,126,13392
adjacency,28,2,36,11999
adjacency,28,3,101,10913
adjacency,28,4,79,9374
adjacency,28,5,89,9010
adjacency,28,6,37,8608
adjacency,28,7,85,7169
adjacency,28,8,98,6384
adjacency,28,9,44,6067
adjacency,28,10,34,5768
adjacency,28,11,83,5380
adjacency,28,12,100,5348
adjacency,28,13,13,5140
adjacency,28,14,105,5073
adjacency,28,15,80,4821
adjacency,28,16,50,4799
adjacency,28,17,42,4608
