Category,Layer,Rank,Expert ID,Activation Count
height,34,2,65,7708
height,34,3,33,7663
height,34,4,45,6871
height,34,5,86,6220
height,34,6,47,5941
height,34,7,98,5629
height,34,8,116,5579
height,34,9,109,5382
height,34,10,82,5209
height,34,11,124,4858
height,34,12,40,4502
height,34,13,15,4427
height,34,14,20,4338
height,34,15,13,4250
height,34,16,100,4228
height,34,17,103,4134
height,34,18,30,4104
height,34,19,2,4041
height,34,20,101,3824
height,35,1,4,9442
height,35,2,39,9221
height,35,3,41,7771
height,35,4,126,6620
height,35,5,21,6597
height,35,6,64,6470
height,35,7,28,5382
height,35,8,1,5288
height,35,9,79,4989
height,35,10,78,4590
height,35,11,100,4220
height,35,12,19,4091
height,35,13,96,4014
height,35,14,5,3834
height,35,15,50,3782
height,35,16,55,3562
height,35,17,58,3463
height,35,18,3,3438
height,35,19,118,3351
height,35,20,88,3248
height,36,1,121,12248
height,36,2,85,10669
height,36,3,95,10184
height,36,4,119,9110
height,36,5,17,5938
height,36,6,103,5443
height,36,7,56,5003
height,36,8,110,4810
height,36,9,57,4778
height,36,10,60,4772
height,36,11,62,4586
height,36,12,65,4372
height,36,13,126,4282
height,36,14,109,4027
height,36,15,36,4015
height,36,16,25,3961
height,36,17,74,3849
height,36,18,116,3516
height,36,19,32,3461
height,36,20,90,3400
height,37,1,104,13467
height,37,2,20,6826
height,37,3,105,6257
height,37,4,36,6190
height,37,5,0,5584
height,37,6,14,5103
height,37,7,66,4947
height,37,8,102,4728
height,37,9,125,4645
height,37,10,26,4524
height,37,11,47,4483
height,37,12,127,4356
height,37,13,42,4126
height,37,14,113,4124
height,37,15,95,4048
height,37,16,12,4024
height,37,17,25,3983
height,37,18,70,3949
height,37,19,68,3655
height,37,20,48,3497
height,38,1,51,11293
height,38,2,53,8563
height,38,3,96,7263
height,38,4,22,7236
height,38,5,125,6142
height,38,6,46,5827
height,38,7,64,5476
height,38,8,36,5089
height,38,9,108,5020
height,38,10,88,4981
height,38,11,93,4891
height,38,12,100,4442
height,38,13,81,4137
height,38,14,25,3995
height,38,15,75,3959
height,38,16,90,3892
height,38,17,13,3844
height,38,18,16,3747
height,38,19,85,3705
height,38,20,97,3651
height,39,1,57,12180
height,39,2,59,10999
height,39,3,116,9008
height,39,4,120,6185
height,39,5,46,5913
height,39,6,27,5686
height,39,7,7,5431
height,39,8,123,5327
height,39,9,115,5307
height,39,10,18,5068
height,39,11,125,4892
height,39,12,49,4787
height,39,13,11,4539
height,39,14,37,4296
height,39,15,51,4261
height,39,16,10,3937
height,39,17,70,3830
height,39,18,53,3828
height,39,19,75,3805
height,39,20,93,3721
height,40,1,126,8654
height,40,2,89,7697
height,40,3,115,7442
height,40,4,101,6161
height,40,5,103,5919
height,40,6,51,5514
height,40,7,67,5428
height,40,8,36,5421
height,40,9,70,5241
height,40,10,13,4944
height,40,11,109,4919
height,40,12,5,4851
height,40,13,17,4558
height,40,14,111,4495
height,40,15,83,4287
height,40,16,85,4196
height,40,17,80,4089
height,40,18,81,4034
height,40,19,34,3921
height,40,20,40,3753
height,41,1,62,7844
height,41,2,18,6719
height,41,3,122,6465
